record_id,a_party,b_party,start_time,duration_sec,direction,call_type,imei,imsi,lac,cell_id,tower_lat,tower_lon,row_sha256,batch_id,source_filename
CDR00001,+919104332181,+918701436349,2026-08-10T22:44:00,91,MT,voice,001338908386376,404204026542351,3419,40968,30.65234,76.72072,df421108b96b37cfca9bb97c059b33879f155ce5e4511d7be1d93473af44ba7f,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00002,+916784801845,+918738721489,2026-08-10T11:35:00,392,MT,voice,287101226916693,404203010310518,6928,21551,30.69241,76.7027,df4ecfb3deb7eaa972fa948a90c3b2d1fcd7533271294a30e5cf60c61a1c9924,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00003,+916784801845,+917734670656,2026-08-10T16:07:00,44,MO,voice,287101226916693,404203010310518,1897,11007,30.66453,76.80344,0db59fb9a1a694ac8a00eeb2a1ce3b00b583890633baa2ba0206913797a00a00,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00004,+916784801845,+917175946474,2026-08-10T09:07:00,275,MO,voice,287101226916693,404203010310518,1897,11007,30.66453,76.80344,0f591d0cf23ee260fb13abd855c18af1a743f62c2ec85d122f2a043bc948a0e7,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00005,+916462704828,+916081219136,2026-08-10T16:27:00,20,MT,voice,287101226916693,404454738299737,6053,15952,30.66646,76.80813,55c1b66e6b9f96a11181b10170f17cd1f99304196748fe616a9cc13d39e8888a,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00006,+916462704828,+917053315869,2026-08-10T09:33:00,204,MO,voice,287101226916693,404454738299737,1897,11007,30.66453,76.80344,c09af5d24b4733fdc2db5368bf99f7e9b42a12247ba8498bf56abc19e733d8af,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00007,+916489325288,+919044997278,2026-08-10T22:02:00,345,MT,voice,287101226916693,404863116566701,4770,75570,30.70705,76.77017,d67ab5e28eb65f525300e8f12684e5e43942cd13cc69222a019f93edde2df038,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00008,+917957015430,+919648877190,2026-08-10T09:22:00,143,MO,voice,287101226916693,404106513338726,4770,75570,30.70705,76.77017,34bfd8a6412d4f439d5a6ad613a3548e369df37469c918a9a3093f80e1c821ff,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00009,+917911718227,+916784801845,2026-08-10T18:34:00,193,MO,voice,287101226916693,404454731781080,6053,15952,30.66646,76.80813,d68e5b077fd1cb9ee72e82e893cc0a7ff4c1d023ba80372a30c47a1ce8595b66,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00010,+917911718227,+918671369594,2026-08-10T12:51:00,89,MO,voice,287101226916693,404454731781080,6053,15952,30.66646,76.80813,7ac72146c3c0ad4f5d8f74226093206340b33183765c3a0932f62a347c317f5b,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00011,+918489638346,+918701436349,2026-08-10T13:02:00,122,MO,voice,287101226916693,404103267736026,4770,75570,30.70705,76.77017,09a3e86fcc4412489e2eb6c48fb6dd1a3beaace991d90dceaa3982cdbaab369c,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00012,+917787133150,+917529042284,2026-08-10T22:16:00,38,MO,voice,287101226916693,404106474687234,4770,75570,30.70705,76.77017,8689385b231f6898e729a39962fac8ac474a5736a50743e1e5e58f6980c642e4,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00013,+917787133150,+918024994717,2026-08-10T15:07:00,208,MT,voice,287101226916693,404106474687234,6053,15952,30.66646,76.80813,50da192450405d210d254d2f1a60f0fc460440ecffffadd70502357f443bc383,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00014,+917787133150,+919044997278,2026-08-10T17:11:00,274,MT,voice,287101226916693,404106474687234,1897,11007,30.66453,76.80344,c23c5ae86f036cdfa0a77c7b637270aa67fca1f4d1ffe5630c9806b69f3c9e0e,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00015,+917787133150,+917241904966,2026-08-10T09:46:00,237,MO,voice,287101226916693,404106474687234,4770,75570,30.70705,76.77017,72685abfcc94b4d44041903844fc4189e4e9df9474bd3665eb22a4353e5193e9,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00016,+916081219136,+916936183242,2026-08-10T10:05:00,187,MT,voice,939909169985432,404493462475107,1672,68947,30.74909,76.7586,a336cd015e035caa9f67b3f1455e9bdff4ac547b135f285fbd2301468466be1c,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00017,+916081219136,+917221969379,2026-08-10T12:44:00,247,MT,voice,939909169985432,404493462475107,2013,69050,30.65242,76.7979,dbed064dcff26ac1559694c20b37d7264f0754f0a2fb41080dc7c67a4555b809,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00018,+916081219136,+919648877190,2026-08-10T20:17:00,347,MO,voice,939909169985432,404493462475107,6482,18639,30.67956,76.75696,e800d682af581bfc4cfdce8f83dba15888d868abb1f4d5359db2c216db98cb7e,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00019,+916980841241,+917859770348,2026-08-10T12:01:00,93,MT,voice,824493534874017,404864005242786,1815,98338,30.64979,76.74317,061bb285bdd09c9ebcc48e0a3fc294259b2a4784c9cb5536849a33c11ba65808,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00020,+916980841241,+917734670656,2026-08-10T18:23:00,216,MO,voice,824493534874017,404864005242786,2251,76910,30.71599,76.75367,155acc8e949c898a4f8f1f6c0d13b31d63dbb4a9c3f6c41b01823decc8defa84,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00021,+916980841241,+917374740748,2026-08-10T18:23:00,247,MO,voice,824493534874017,404864005242786,3463,53694,30.64978,76.76963,179d188d5f9df4981766e9facb686b939f4240dc54c9e8409fd38c179ffcc888,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00022,+916980841241,+917859770348,2026-08-10T19:20:00,352,MT,voice,824493534874017,404864005242786,9624,22249,30.71752,76.74081,038766042c355799a6cacbe8b6d7a9b5096314c96a3c0c780baf7d3f5f61a355,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00023,+916569816934,+917709521456,2026-08-10T19:58:00,307,MO,voice,608835615951489,404496564823662,7421,26901,30.7114,76.80256,264951b6c8c9d3d5cbd58d43f84bb6cb28b8105eca26b4c16d39867041b36166,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00024,+916569816934,+917374740748,2026-08-10T13:39:00,166,MT,voice,608835615951489,404496564823662,7421,26901,30.7114,76.80256,fd27d39d4cbf06e84641e7c9adf87c1bc8956c1f10a6868cdbcabf24ccb593fe,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00025,+916569816934,+916489325288,2026-08-10T21:11:00,385,MT,voice,608835615951489,404496564823662,3578,58503,30.6774,76.72893,1a489134519df5e201032ea849bd73eb2f459c1d25dd2da8f2822639df52068e,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00026,+916569816934,+916936183242,2026-08-10T18:45:00,53,MT,voice,608835615951489,404496564823662,3578,58503,30.6774,76.72893,53c776a8ca44fcb0bc906ad757d11fcdc16516ce9ee096ecdb1c3ccc9be05dec,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00027,+918738721489,+917053315869,2026-08-10T18:32:00,134,MO,voice,134332003791762,404203676320163,8601,83889,30.73119,76.74387,d9d1a0043b5e9bcd2fbe54b2bc6f9f4b10dff80a80d8c875f370196af30cf13c,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00028,+918738721489,+917734670656,2026-08-10T22:01:00,204,MT,voice,134332003791762,404203676320163,9624,22249,30.71752,76.74081,887402ffd08c4a95c53c73fcf43048f4d80d85f70d66a975ed687585a40efffa,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00029,+918277434873,+917957015430,2026-08-10T09:19:00,223,MT,voice,714345581223625,404451665876036,2013,69050,30.65242,76.7979,56a6a01f52a8eb9adeb9525b529d10748f6364449ec7b38352b914c0bb560b15,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00030,+918277434873,+917455623869,2026-08-10T09:08:00,182,MO,voice,714345581223625,404451665876036,8147,12456,30.69517,76.69934,6aa93245265e3a286cb1671c235a865fe0d74150c78aac3952980940c838580e,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00031,+917734670656,+917787133150,2026-08-10T12:49:00,86,MT,voice,729806990162729,404104653755646,6129,85465,30.69151,76.73853,5f1945333e842d3f4d5f95cbdf0711ae4827bd79aa70aeff0d1a98a53c7cca18,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00032,+917734670656,+918489638346,2026-08-10T11:19:00,104,MO,voice,729806990162729,404104653755646,3842,88957,30.65834,76.7811,76bc0f1f9fd70be7998dc058071ec48fe9d681540192ec25792776f36749e665,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00033,+917734670656,+918277434873,2026-08-10T18:33:00,165,MO,voice,729806990162729,404104653755646,3842,88957,30.65834,76.7811,03a852edeee3f3036514a94364c5a3bcf68bb66b76bccd02c312fe5df2510b42,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00034,+916271937452,+917787133150,2026-08-10T16:39:00,293,MO,voice,193149190586514,404208776945314,6731,50662,30.75612,76.77382,8746d39065f28bdf7d6e95443cc9090ba26ecccfd159c9c74a53c8b149821822,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00035,+916271937452,+916081219136,2026-08-10T12:42:00,339,MT,voice,193149190586514,404208776945314,1920,56129,30.70088,76.72725,7f37ab0618bc0a451dd13daf7d677ba1883e1142c3b186f1ba6870b04091af4a,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00036,+916271937452,+916784801845,2026-08-10T07:05:00,43,MT,voice,193149190586514,404208776945314,3842,88957,30.65834,76.7811,07c885e43468983640f0784dfcf028be230ad7919db1545a5950fdea80f05914,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00037,+917241904966,+917341316475,2026-08-10T22:56:00,341,MT,voice,850671657262845,404863799650752,6731,50662,30.75612,76.77382,ff92cd4f9612d324bcddc3007700c6418f3eb0620b6b3aca082572babf01caba,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00038,+917241904966,+918671369594,2026-08-10T14:51:00,370,MT,voice,850671657262845,404863799650752,6731,50662,30.75612,76.77382,a04e5fcfcb1ac7a65aaf2c8579fb751b4142aa182acfa57c484cf64433601e57,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00039,+917241904966,+916462704828,2026-08-10T12:28:00,232,MT,voice,850671657262845,404863799650752,6731,50662,30.75612,76.77382,75f760cffbd53cb176b3cb643ffba2ddeab6838c35da5a09908ecb46bcea27eb,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00040,+917241904966,+916081219136,2026-08-10T17:55:00,387,MT,voice,850671657262845,404863799650752,3842,88957,30.65834,76.7811,7feccb1d26f74c4c892dc9bde35f4daee1cde9ae00709c3238890d1d3fabc175,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00041,+918701436349,+916611724005,2026-08-10T11:48:00,209,MO,voice,788568557444310,404455182337498,8601,83889,30.73119,76.74387,9b9df8de4d8c697c1ab45a9b260466ef1d4f54a52f9d6141dbea8c444a8b3e36,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00042,+918701436349,+918489638346,2026-08-10T15:28:00,146,MO,voice,788568557444310,404455182337498,6928,21551,30.69241,76.7027,0e146242ba635c5fdbe7530301cfa539ec4ac57f8963ead7bff1015578f8510e,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00043,+918701436349,+919044997278,2026-08-10T20:15:00,101,MT,voice,788568557444310,404455182337498,4770,75570,30.70705,76.77017,50841c582c0ac33e7207b05943fd6d770966e0a588d7687e21cb7708dcd8ddbd,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00044,+918094777520,+916569816934,2026-08-10T12:31:00,283,MT,voice,711671902294137,404108699938677,6053,15952,30.66646,76.80813,d3d23cd7bf8a1e1ec3147885b9b583913cdfb94891a77c65a6ec4da287a3de87,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00045,+918094777520,+917064090974,2026-08-10T07:05:00,221,MT,voice,711671902294137,404108699938677,6053,15952,30.66646,76.80813,40e557325386f122ccef70416920b7b8089ed503eea87bcee1688bc0d16fbb79,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00046,+918094777520,+919648877190,2026-08-10T08:03:00,164,MT,voice,711671902294137,404108699938677,2257,94497,30.74371,76.79264,1f01bf17243fbc0c98141b05125f1fe18766485c4896593192d621a642692bfb,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00047,+916936183242,+918701436349,2026-08-10T07:54:00,75,MT,voice,067974034471340,404499401399049,3419,40968,30.65234,76.72072,5bb4ada085445549c4c0df319270a60ad602cd539b2d4220678df66292a806b5,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00048,+916936183242,+917859770348,2026-08-10T19:23:00,43,MT,voice,067974034471340,404499401399049,2013,69050,30.65242,76.7979,d094d7853204d907774425542b4716b8f54d918ade895b8c54a0cd8782df882a,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00049,+916936183242,+916569816934,2026-08-10T18:35:00,167,MO,voice,067974034471340,404499401399049,4531,77154,30.65366,76.74159,3f7364ccdec58dda3bf8fae424900e703d33a5ba753a32b6017f36da91646bf2,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00050,+916936183242,+918159212499,2026-08-10T15:52:00,339,MO,voice,067974034471340,404499401399049,3419,40968,30.65234,76.72072,860b4e253d03691eb0fba6380caa752252424ce4c2abf39c92c67856b57733a3,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00051,+918024994717,+917859770348,2026-08-10T17:35:00,207,MO,voice,067974034471340,404102787429671,3093,97833,30.72434,76.80365,6d65cdb57fb4d9af5c5bff9b2470efb6cfd21a410db7c64712c3c19feb012423,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00052,+918024994717,+916611724005,2026-08-10T08:02:00,39,MO,voice,067974034471340,404102787429671,5640,98895,30.72142,76.7484,237e7b8af2bd68e1a22a97521ef205282eaad054595bbefd4de70877c1cdc3dc,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00053,+918024994717,+918671369594,2026-08-10T21:09:00,330,MO,voice,067974034471340,404102787429671,3093,97833,30.72434,76.80365,3371a70313323c98206cef3ce34b210d765e02b3613e7462e1e8f3715c5d6661,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00054,+918024994717,+916936183242,2026-08-10T12:25:00,335,MT,voice,067974034471340,404102787429671,3093,97833,30.72434,76.80365,bfd7d69d6dcc7f5fde42657a96001c7dafc74de9a61b4cf2354246239c7ab8e3,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00055,+919648877190,+917049451983,2026-08-10T16:30:00,28,MT,voice,067974034471340,404865655125674,3419,40968,30.65234,76.72072,ad945c29a06d226eeedc34df61bf88d1b227ea4e3de026961f927b166e8dae93,832279ccb407938aa069e20008b4e250,cdr.csv
CDR00056,+919648877190,+917455623869,2026-08-10T16:50:00,391,MO,voice,067974034471340,404865655125674,3419,40968,30.65234,76.72072,3f6ab19822fe3c844218974c9f79414737280a68c686fc70572d2e902331d472,832279ccb407938aa069e20008b4e250,cdr.csv
