record_id,msisdn,imei,imsi,session_start,session_end,private_ip,public_ip,nat_port_start,bytes_up,bytes_down,dest_ip,dest_port,protocol,dest_domain,app_hint,row_sha256,batch_id,source_filename
IPDR00001,+919104332181,001338908386376,404204026542351,2026-08-10T13:48:00,2026-08-10T13:59:33,192.168.164.61,122.185.98.181,20800,20700000,90300000,104.244.42.129,443,TCP,api.twitter.com,email,73946fb8ca615b9ddadfa7db2b46a11d09aac58913a54a2f8185d1e6230ac745,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00002,+919104332181,001338908386376,404204026542351,2026-08-10T11:42:00,2026-08-10T12:12:13,192.168.218.143,122.185.98.181,33505,12700000,23000000,142.250.192.14,443,TCP,www.google.com,email,a317a4df607d1c73cd78c4d4be95163906dca05ab4b89aae8c188c0686cb3888,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00003,+919104332181,001338908386376,404204026542351,2026-08-10T08:22:00,2026-08-10T09:17:38,172.28.94.194,122.185.98.181,36277,21500000,210400000,149.154.167.51,443,TCP,api.telegram.org,messaging,709a1c17377a4341fb1b41d62d6eed723b9bc63c30bc45c267ce77d109fb0178,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00004,+917341316475,553419283276486,404455030564139,2026-08-10T14:54:00,2026-08-10T15:16:31,192.168.211.248,182.204.185.57,28320,34400000,47600000,149.154.167.51,443,TCP,api.telegram.org,messaging,fd0a3dd79cf3d55dc7e64934894e7c72dc94634d70764c901683ee246e15ac3c,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00005,+917341316475,553419283276486,404455030564139,2026-08-10T23:08:00,2026-08-10T23:26:34,172.18.97.14,182.204.185.57,18617,10900000,102400000,104.244.42.129,443,TCP,api.twitter.com,browsing,939aa791b3da0e5e47ebccd3b0d68f11423febeac70f2314b52723e9ad796969,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00006,+916784801845,287101226916693,404203010310518,2026-08-10T08:55:00,2026-08-10T09:09:50,172.22.170.78,100.91.29.149,2028,32400000,178300000,142.250.192.14,443,TCP,www.google.com,email,7c763ea22fd51d4881ad53823a7c1bb2abee1cef58e8591358d956c09ae2f747,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00007,+916784801845,287101226916693,404203010310518,2026-08-10T13:59:00,2026-08-10T14:51:37,192.168.104.102,100.91.29.149,16708,5600000,299900000,149.154.167.51,443,TCP,api.telegram.org,messaging,6be753c67bc207e4176c04e16faf3e396d255db25b2267f4cca8a76653fe9b9f,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00008,+916081219136,939909169985432,404493462475107,2026-08-10T17:49:00,2026-08-10T18:16:59,172.31.238.26,100.84.224.214,53637,19200000,196400000,104.244.42.129,443,TCP,api.twitter.com,social,56f12ab261c4ff70179e1dfed654f93a1097ad529f39f7d279f0930e7373be44,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00009,+916081219136,939909169985432,404493462475107,2026-08-10T22:48:00,2026-08-10T23:52:25,192.168.74.5,100.84.224.214,18114,8900000,97300000,142.250.192.14,443,TCP,www.google.com,browsing,b2ab4d0e0cd93b734778935ea4baf1ba0c1e95b7c95efba7f1f7a930cda9443d,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00010,+916081219136,939909169985432,404493462475107,2026-08-10T20:18:00,2026-08-10T20:33:23,192.168.172.66,100.84.224.214,51051,13900000,117100000,104.244.42.129,443,TCP,api.twitter.com,video,82163364ba6ca00f4c8b1de8c7a817f82fe7e755abf7015ca680be80a98ae0ef,951295eb92521845564dfa6eb48f60cd,ipdr.csv
